exchange,stockCode,stockSymbol,companyName
NSE,21406,AVADHSUGAR,Avadh Sugar & Energy
NSE,15058,AVALON,Avalon Technologies
NSE,7936,AVANTIFEED,Avanti Feeds
NSE,19913,DMART,Avenue Supermarts DMart
NSE,15589,AVG,AVG Logistics
NSE,13557,AVONMORE,AVONMORE CAP&MGT SERV LTD
NSE,8827,AVROIND,Avro India
NSE,18692,AVSL,AVSL Industries
NSE,14008,AVTNPL,Avt Natural Products
NSE,5900,AXISBANK,Axis Bank
NSE,9440,AXISCADES,Axiscades Engineering Technologies
NSE,9909,AXITA,Axita Cotton
NSE,10285,AYMSYNTEX,AYM Syntex
NSE,13290,BLKASHYAP,B L Kashyap and Sons
NSE,12153,BBTCL,B&B Triplewall Containers
NSE,17735,BAFNAPH,Bafna Pharmaceuticals
NSE,11226,BAGFILMS,BAG Films & Media
NSE,12989,BAHETI,Baheti Recycling Industries
NSE,13794,BAIDFIN,Baid Finserv
NSE,16669,BAJAJ-AUTO,Bajaj Auto
NSE,19531,BAJAJCON,Bajaj Consumer Care
NSE,15034,BAJAJELEC,Bajaj Electricals
NSE,317,BAJFINANCE,Bajaj Finance
NSE,16675,BAJAJFINSV,Bajaj Finserv
NSE,6863,BAJAJHCARE,Bajaj HealthCare
NSE,308,BAJAJHIND,Bajaj Hindusthan Sugar
NSE,305,BAJAJHLDNG,Bajaj Holdings and Investments
NSE,13441,BALPHARMA,Bal Pharma
NSE,14501,BALAMINES,Balaji Amines
NSE,9158,BALAJITELE,Balaji Telefilms
NSE,11309,BALAXI,Balaxi Pharmaceuticals
NSE,335,BALKRISIND,Balkrishna Industries
NSE,10181,BALKRISHNA,Balkrishna Paper Mills
NSE,338,BALMLAWRIE,Balmer Lawrie & Co
NSE,341,BALRAMCHIN,Balrampur Chini Mills
NSE,347,BANARBEADS,Banaras Beads
NSE,13880,BANCOINDIA,Banco Products
NSE,2263,BANDHANBNK,Bandhan Bank
NSE,15303,BANG,Bang Overseas
NSE,4668,BANKBARODA,Bank of Baroda
NSE,4745,BANKINDIA,Bank of India
NSE,11377,MAHABANK,Bank of Maharashtra
NSE,822,BANKA,Banka Bioloo
NSE,12034,BASML,Bannari Amman Spinning Mills
NSE,350,BANARISUG,Bannari Amman Sugars
NSE,14511,BANSWRAS,Banswara Syntex
NSE,15077,BVCL,Barak Valley Cements
NSE,3127,BARBEQUE,Barbeque Nation Hospitality
NSE,14867,ASMS,Bartronics India
NSE,368,BASF,BASF India
NSE,371,BATAINDIA,Bata India
NSE,17927,BAYERCROP,Bayer Crop Science
NSE,2513,BCLIND,BCL Industries
NSE,4294,BDR,BDR Buildco
NSE,17937,BEARDSELL,Beardsell
NSE,20196,BEDMUTHA,Bedmutha Industries
NSE,395,BEML,BEML
NSE,15067,BLAL,BEML Land Assets
NSE,404,BERGEPAINT,Berger Paints
NSE,81,BETA,Beta Drugs
NSE,5662,BEWLTD,BEW ENGINEERING LIMITED
NSE,21113,BFINVEST,BF Investment
NSE,14567,BFUTILITIE,BF Utilities
NSE,15189,BGRENERGY,BGR Energy Systems
NSE,13400,BHAGERIA,Bhageria Industries
NSE,6164,BHAGCHEM,Bhagiradha Chemicals & Industries
NSE,20776,BHAGYANGR,Bhagyanagar India
NSE,9985,BHALCHANDR,Bhalchandram Clothing
NSE,19556,BHANDARI,Bhandari Hosiery Exports
NSE,419,BEPL,Bhansali Engineering Polymers
NSE,13761,BBL,Bharat Bijlee
NSE,2144,BDL,Bharat Dynamics
NSE,383,BEL,Bharat Electronics
NSE,422,BHARATFORG,Bharat Forge
NSE,426,BHARATGEAR,Bharat Gears
NSE,438,BHEL,Bharat Heavy Electricals
NSE,526,BPCL,Bharat Petroleum
NSE,3834,BHARATRAS,Bharat Rasayan
NSE,21683,BRNL,Bharat Road Network
NSE,16123,BHARATWIRE,Bharat Wire Ropes
NSE,10604,BHARTIARTL,Bharti Airtel
NSE,6435,AIRTELPP,Bharti Airtel Rs. 1.25 PP
NSE,7853,BIL,Bhartiya International
NSE,18431,BIGBLOC,Bigbloc Construction
NSE,11966,BIKAJI,Bikaji Foods International
NSE,13622,BINANIIND,Binani Industries
NSE,11373,BIOCON,Biocon
NSE,4136,BIOFILCHEM,Biofil Chemicals
NSE,477,BIRLACABLE,Birla Cable
NSE,480,BIRLACORPN,Birla Corporation
NSE,17588,BIRLATYRE,Birla Tyres
NSE,6994,BSOFT,Birlasoft
NSE,5789,BKMINDST,BKM Industries
NSE,3435,BBOX,Black Box
NSE,8132,BLBLIMITED,BLB
NSE,19265,BLISSGVS,Bliss GVS Pharma
NSE,17279,BLS,BLS International Services
NSE,8650,BLUECHIP,BLUE CHIP INDIA LIMITED
NSE,495,BLUEDART,Blue Dart Express
NSE,8311,BLUESTARCO,Blue Star
NSE,25017,BODALCHEM,Bodal Chemicals
NSE,14152,BTML,Bodhi Tree Multimedia
NSE,11641,BOHRAIND,Bohra Industries
NSE,380,BBTC,Bombay Burmah Trading
NSE,513,BOMDYEING,Bombay Dyeing
NSE,6052,BMETRICS,BOMBAY METRICS S C LTD
NSE,812,BSHSL,Bombay Super Hybrid Seeds
NSE,19401,BOROLTD,Borosil
NSE,3149,BORORENEW,Borosil Renewables
NSE,2181,BOSCHLTD,Bosch
NSE,530,BPL,BPL
NSE,7783,BCONCEPTS,BRAND CONCEPTS LIMITED
NSE,15184,BRIGADE,Brigade Enterprises
NSE,3901,BRIGHT,Bright Solar
NSE,8833,BCG,Brightcom Group
NSE,547,BRITANNIA,Britannia Industries
NSE,25136,BROOKS,Brooks Laboratories
NSE,19585,BSE,BSE
NSE,8653,BSL,BSL
NSE,15194,BURNPUR,Burnpur Cement
NSE,2716,BUTTERFLY,Butterfly Gandhimathi Appliances
NSE,21823,CADSYS,Cadsys India
NSE,8400,CALSOFT,California Software
NSE,14222,CTE,Cambridge Technology Enterprises
NSE,6216,CAMLINFINE,Camlin Fine Sciences
NSE,9362,CAMPUS,Campus Activewear
NSE,583,CANFINHOME,Can Fin Homes
NSE,10794,CANBK,Canara Bank
NSE,20160,CANTABIL,Cantabil Retail India
NSE,21749,CAPACITE,Capacite Infraprojects
NSE,19447,CAPTRUST,Capital Trust
NSE,3906,CAPLIPOINT,Caplin Point Laboratories
NSE,20329,CGCL,Capri Global Capital
NSE,595,CARBORUNIV,Carborundum Universal
NSE,29113,CARERATING,CARE Ratings
NSE,20090,CAREERP,Career Point
NSE,5407,CARTRADE,CarTrade Tech
NSE,1879,CARYSIL,CARYSIL
NSE,1250,CASTROLIND,Castrol India
NSE,11452,CCL,CCL Products India
NSE,21174,CDSL,CDSL
NSE,7227,MAPMYINDIA,CE Info Systems
NSE,15254,CEATLTD,CEAT
NSE,13162,CELEBRITY,Celebrity Fashions
NSE,16950,CELLPOINT,Cell Point
NSE,14894,CENTRALBK,Central Bank of India
NSE,2454,CENTRUM,Centrum Capital
NSE,14982,CENTUM,Centum Electronics
NSE,619,CENTENKA,Century Enka
NSE,11511,CENTEXT,Century Extrusions
NSE,13305,CENTURYPLY,Century Plyboards
NSE,625,CENTURYTEX,Century Textile and Industries
NSE,15039,CERA,Cera Sanitaryware
NSE,30016,CEREBRAINT,Cerebra Integrated Technologies
NSE,628,CESC,CESC
NSE,760,CGPOWER,CG Power and Industrial Solutions
NSE,8546,CHALET,Chalet Hotels
NSE,3482,CLSEL,Chaman Lal Setia Exports
NSE,13731,CMNL,Chaman Metallics
NSE,637,CHAMBLFERT,Chambal Fertilisers & Chemicals
NSE,14618,CHEMBOND,Chembond Chemicals
NSE,270,CHEMCON,Chemcon Speciality Chemicals
NSE,2799,CHEMFAB,Chemfab Alkalis
NSE,5449,CHEMPLASTS,Chemplast Sanmar
NSE,2049,CHENNPETRO,Chennai Petroleum Corporation
NSE,9879,CHEVIOT,Cheviot
NSE,8866,CHOICEIN,Choice International
NSE,21740,CHOLAHLDNG,Cholamandalam Financial Holdings
NSE,685,CHOLAFIN,Cholamandalam Investment
NSE,14937,CIEINDIA,CIE Automotive India
NSE,5142,CIGNITITEC,Cigniti Technologies
NSE,27161,CINELINE,Cineline India
