exchange,stockCode,stockSymbol,companyName
BSE,523007,ANSALBU,Ansal Buildwell
BSE,507828,ANSALHSG,Ansal Housing & Construction
BSE,500013,ANSALAPI,Ansal Properties and Infrastructure
BSE,512091,ANSHNCO,Anshuni Commercials
BSE,501270,ANTARIKSH,Antariksh Industries
BSE,543254,AWHCL,Antony Waste Handling Cell
BSE,538833,ANUBHAV,Anubhav Infrastructure
BSE,506260,ANUHPHR,Anuh Pharma
BSE,530109,ANUPAM,Anupam Finserv
BSE,543275,ANURAS,Anupam Rasayan India
BSE,542865,ANUROOP,Anuroop Packaging
BSE,543655,ANZEN,Anzen India Energy Yield 
BSE,532259,APARINDS,Apar Industries
BSE,523694,APCOTEXIND,Apcotex Industries
BSE,541133,ACFL,Apex Capital and Finance
BSE,540692,APEX,Apex Frozen Foods
BSE,506166,APIS,Apis India
BSE,533758,APLAPOLLO,APL Apollo Tubes
BSE,517096,APLAB,Aplab
BSE,523537,APMIN,Apm Industries
BSE,512437,APOLLOFI,Apollo Finvest India
BSE,508869,APOLLOHOSP,Apollo Hospitals
BSE,540879,APOLLO,Apollo Micro Systems
BSE,531761,APOLLOPIPES,Apollo Pipes
BSE,500877,APOLLOTYRE,Apollo Tyres
BSE,539545,APOORVA,Apoorva Leasing Finance
BSE,506979,APTPACK,APT PACKAGING LTD.
BSE,532475,APTECHT,Aptech
BSE,543335,APTUS,Aptus Value Housing Finance India
BSE,512344,ARAVALIS,Aravali Securities & Finance
BSE,540135,ARCFIN,ARC Finance
BSE,520121,ARCEEIN,Arcee Industries
BSE,530565,SSLFINANCE,Archana Software
BSE,543657,ACI,Archean Chemical Industries
BSE,532994,ARCHIDPLY,Archidply
BSE,543231,ADL,Archidply Decor
BSE,532212,ARCHIES,Archies
BSE,524640,ARCHITORG,Archit Organosys
BSE,526851,AREXMIS,Arex Industries
BSE,539151,ARFIN,Arfin India
BSE,532935,ARIES,Aries Agro
BSE,511605,ARIHCAPM,Arihant Capital Markets
BSE,531381,ARIHANT,Arihant Foundations & Housing
BSE,506194,ASL,Arihant Superstructures
BSE,531017,ARISE,Arihant's Securities
BSE,531677,ARISINT,Aris International
BSE,531179,ARMANFIN,Arman Financial Services
BSE,538556,ARMAN,Arman Holdings
BSE,537069,ARNOLD,Arnold Holdings
BSE,513729,AROGRANITE,Aro Granite Industries
BSE,516064,ARROWGREEN,Arrow Greentech
BSE,506074,ARSHIYA,Arshiya
BSE,533163,ARSSINFRA,ARSS Infrastructure Projects
BSE,531297,ARTEFACT,Artefact Projects
BSE,542670,AEPL,Artemis Electricals
BSE,542919,ARTEMISMED,Artemis Medicare Services
BSE,522134,ARTSONEN,Artson Engineering
BSE,500016,ARUNAHTEL,Aruna Hotels
BSE,526935,ARUNIS,Arunis Abode
BSE,530881,ABVL,Arunjyothi Bio Ventures
BSE,500101,ARVIND,Arvind
BSE,542484,ARVINDFASN,Arvind Fashions
BSE,539301,ARVSMART,Arvind SmartSpaces
BSE,538716,ARYACAPM,Aryaman Capital Markets
BSE,530245,ARYAMAN,Aryaman Financial Services
BSE,542176,ARYAN,Aryan Share And Stock Brokers
BSE,515030,ASAHIINDIA,Asahi India Glass
BSE,532853,ASAHISONG,Asahi Songwon Colors
BSE,543943,ASARFI,Asarfi Hospital
BSE,543443,ASCENSIVE,Ascensive Educare Limited
BSE,527001,ASHAPURMIN,Ashapura Minechem
BSE,542579,AGOL,Ashapuri Gold Ornament
BSE,519174,ASHAI,Ashiana Agro Industries
BSE,523716,ASHIANA,Ashiana Housing
BSE,513401,ASHIS,Ashiana Ispat
BSE,543766,ASHIKA,Ashika Credit Capital Ltd
BSE,514286,ASHIMASYN,Ashima
BSE,512247,ASHCAP,Ashirwad Capital
BSE,526847,ASHSI,Ashirwad Steels & Industries
BSE,530429,ASHISHPO,Ashish Polyplast
BSE,541702,ASHNI,Ashnisha Industries
BSE,507872,ASHNOOR,Ashnoor Textile Mills
BSE,524594,ASHOKALC,Ashok Alco-Chem
BSE,500477,ASHOKLEY,Ashok Leyland
BSE,533271,ASHOKA,Ashoka Buildcon
BSE,540923,ASHOKAMET,Ashoka Metcast
BSE,526983,ASHOKRE,Ashoka Refineries
BSE,526187,ASHRAM,Ashram Online.Com
BSE,502015,ASIIL,ASI Industries
BSE,538777,ASIACAP,Asia Capital
BSE,530899,ASIAPAK,Asia Pack
BSE,530355,ASIANENE,Asian Energy Services
BSE,531392,ASFLORA,ASIAN FLORA
BSE,507530,ASIFOOD,ASIAN FOOD PRODUCTS LTD.
BSE,532888,ASIANTILES,Asian Granito India
BSE,533227,AHLEAST,Asian Hotels (East)
BSE,500023,ASIANHOTNR,Asian Hotels (North)
BSE,500820,ASIANPAINT,Asian Paints
BSE,524434,ASINPET,Asian Petroproducts & Exports
BSE,531847,ASTAR,Asian Star
BSE,519532,ASIANTNE,Asian Tea & Exports
BSE,543927,ASIAN,Asian Warehousing Limited
BSE,530723,ASITCFIN,Asit C Mehta Financial Services
BSE,526433,ASMTEC,ASM Technologies
BSE,540788,ASPIRA,Aspira Pathlab
BSE,542911,ASSAMENT,Assam Entrade
BSE,507526,ASALCBR,Associated Alcohols & Breweries
BSE,531168,ASSOCER,ASSOCIATED CERAMICS LTD.
BSE,533138,ASTEC,Astec Lifesciences
BSE,540975,ASTERDM,Aster DM Healthcare
BSE,532493,ASTRAMICRO,Astra Microwave Products
BSE,532830,ASTRAL,Astral
BSE,506820,ASTRAZEN,AstraZeneca Pharma India
BSE,540824,ASTRON,Astron Paper and Board Mill
BSE,512433,ASUTENT,Asutosh Enterprises
BSE,543911,ATALREAL,Atal Realtech Limited
BSE,543236,ATAM,Atam Valves
BSE,530187,ATHARVENT,Atharv Enterprises
BSE,539099,ATHCON,Athena Constructions
BSE,517429,ATHENAGLO,Athena Global Technologies
BSE,538713,ATISHAY,Atishay
BSE,532759,ATLANTA,Atlanta
BSE,500027,ATUL,ATUL
BSE,531795,ATULAUTO,Atul Auto
BSE,500028,ATVPR,Atv Projects India
BSE,540611,AUBANK,AU Small Finance Bank
BSE,532668,AURIONPRO,Aurionpro Solutions
BSE,530233,AUROLAB,Auro Laboratories
BSE,524804,AUROPHARMA,Aurobindo Pharma
BSE,539289,AURUM,Aurum PropTech
BSE,890168,AURUMPP,Aurum PropTech Limited
BSE,509009,AUSOMENT,AuSom Enterprise
BSE,522005,AUSTENG,Austin Engineering Company
BSE,539177,AIIL,Authum Inv & Infr
BSE,531994,AUTOPINS,Auto Pins India
BSE,532797,AUTOIND,Autoline Industries
BSE,505036,ACGL,Automobile Corporation of Goa
BSE,505010,AUTOAXLES,Automotive Axles
BSE,520119,ASAL,Automotive Stampings & Assemblies
BSE,512277,AUTOINT,Autoriders International
BSE,540649,AVADHSUGAR,Avadh Sugar & Energy
BSE,531310,AVAILFC,Available Finance
BSE,543896,AVALON,Avalon Technologies
BSE,512149,AVANCE,AVANCE TECHNOLOGIES LTD.
BSE,532406,AVANTEL,Avantel
BSE,512573,AVANTI,Avanti Feeds
BSE,543737,AVEER,Aveer Foods Limited
BSE,540376,DMART,Avenue Supermarts DMart
BSE,543910,AVG,AVG Logistics
BSE,539288,AVI,AVI Polymers
BSE,523896,APIL,AVI Products India
BSE,511589,AVONMORE,Avonmore Capital & Management Services
BSE,543512,AVROIND,Avro India
BSE,519105,AVTNPL,Avt Natural Products
BSE,513642,AXELPOLY,Axel Polymers
BSE,532215,AXISBANK,Axis Bank
BSE,533570,AXISGOLD,Axis Gold ETF
BSE,543347,AXISTECETF,Axis Mutual Fund
BSE,543348,AXISHETF,Axis Mutual Fund
BSE,543357,AXISCETF,Axis Mutual Fund
BSE,543800,AXISWRDG,Axis Mutual Fund
BSE,543801,AXISWRGP,Axis Mutual Fund
BSE,543802,AXISWRQD,Axis Mutual Fund
BSE,543803,AXISWRHD,Axis Mutual Fund
BSE,543832,AXISWSDG,Axis Mutual Fund
BSE,543833,AXISWSDQ,Axis Mutual Fund
BSE,543834,AXISWSGP,Axis Mutual Fund
BSE,543835,AXISWSQD,Axis Mutual Fund
BSE,543836,AXISWSHD,Axis Mutual Fund
BSE,543853,AXISPEGP,Axis Mutual Fund
BSE,532395,AXISCADES,Axiscades Engineering Technologies
BSE,542285,AXITA,Axita Cotton
BSE,523850,AXTEL,Axtel Industries
BSE,508933,AYMSYNTEX,AYM Syntex
BSE,512063,AYOME,Ayoki Mercantile
BSE,532719,BLKASHYAP,B L Kashyap and Sons
BSE,543543,BRRL,B Right Realestate
BSE,508136,BNALTD,B&A
BSE,523186,BAPACK,B&A Packaging India
BSE,543668,BBTCL,B&B Triplewall Containers
BSE,531268,B2BSOFT,B2B Software Technologies
BSE,532380,BABA,Baba Arts
BSE,532989,BAFNAPHARM,Bafna Pharmaceuticals
BSE,532507,BAGFILMS,BAG Films & Media
BSE,511724,BAIDFIN,Baid Finserv
BSE,532977,BAJAJ-AUTO,Bajaj Auto
BSE,533229,BAJAJCON,Bajaj Consumer Care
BSE,500031,BAJAJELEC,Bajaj Electricals
BSE,500034,BAJFINANCE,Bajaj Finance
BSE,532978,BAJAJFINSV,Bajaj Finserv
BSE,512261,BAJGLOB,Bajaj Global
BSE,539872,BAJAJHCARE,Bajaj HealthCare
BSE,500032,BAJAJHIND,Bajaj Hindusthan Sugar
BSE,500490,BAJAJHLDNG,Bajaj Holdings and Investments
BSE,507944,BAJAJST,Bajaj Steel Industries
BSE,524824,BALPHARMA,Bal Pharma
BSE,530999,BALAMINES,Balaji Amines
BSE,532382,BALAJITELE,Balaji Telefilms
BSE,539834,BALGOPAL,Balgopal Commercial
BSE,502355,BALKRISIND,Balkrishna Industries
BSE,539251,BALKRISHNA,Balkrishna Paper Mills
BSE,523319,BALMLAWRIE,Balmer Lawrie & Co
BSE,532485,BLIL,Balmer Lawrie Investments
BSE,500038,BALRAMCHIN,Balrampur Chini Mills
BSE,531112,BALUFORGE,Balu Forge Industries
BSE,520127,BALTE,Balurghat Technologies
BSE,519295,BAMBINO,Bambino Agro Industries
BSE,531591,BAMPSL,Bampsl Securities
BSE,526849,BANARBEADS,Banaras Beads
BSE,509053,BANASFN,Banas Finance
BSE,500039,BANCOINDIA,Banco Products
BSE,541153,BANDHANBNK,Bandhan Bank
BSE,532946,BANG,Bang Overseas
BSE,539120,BFFL,Bangalore Fort Farms
BSE,532134,BANKBARODA,Bank of Baroda
BSE,532149,BANKINDIA,Bank of India
BSE,532525,MAHABANK,Bank of Maharashtra
BSE,532674,BASML,Bannari Amman Spinning Mills
BSE,500041,BANARISUG,Bannari Amman Sugars
BSE,538546,BRPL,Bansal Roofing Products
BSE,519353,BANSTEA,Bansisons Tea Industries
BSE,503722,BANSWRAS,Banswara Syntex
BSE,532916,BVCL,Barak Valley Cements
BSE,543283,BARBEQUE,Barbeque Nation Hospitality
BSE,513502,BAROEXT,Baroda Extrusion
BSE,500270,BARODARY,BARODA RAYON CORPORATION 
BSE,532694,ASMS,Bartronics India
BSE,524687,BASANTGL,Basant Agro Tech
BSE,500042,BASF,BASF India
BSE,500043,BATAINDIA,Bata India
BSE,522004,BATLIBOI,Batliboi
BSE,506285,BAYERCROP,Bayer Crop Science
BSE,539946,BAZELINTER,Bazel International
BSE,537766,BCP,BC Power Controls
BSE,517246,BCCFUBA,BCC Fuba India
BSE,539621,BCLENTERPR,BCL Enterprises
BSE,524332,BCLIL,BCL Industries
BSE,542057,BCPL,BCPL Railway Infrastructure
BSE,524828,BDH,BDH Industries
BSE,539447,BEARDSELL,Beardsell
BSE,533270,BEDMUTHA,Bedmutha Industries
BSE,539546,BNL,Beekay Niryat
BSE,539018,BEEKAY,Beekay Steel Indus
BSE,532645,BEEYU,Beeyu Overseas
BSE,539399,BELLACASA,Bella Casa Fashion
BSE,522650,BEMHY,Bemco Hydraulics
BSE,500048,BEML,BEML
BSE,543898,BLAL,BEML Land Assets
BSE,541178,BENARA,Benara Bearings
BSE,509438,BENARAS,Benares Hotels
BSE,533095,BENGALASM,Bengal & Assam
BSE,512404,BENGALS,Bengal Steel Industries
BSE,532230,BENGALT,Bengal Tea and Fabrics
BSE,512195,BENTCOM,Bentley Commercial Enterp
BSE,509480,BERGEPAINT,Berger Paints
BSE,531340,BERVINL,Bervin Investment & Leasing
BSE,524606,BERLDRG,Beryl Drugs
BSE,531582,BERYLSE,Beryl Securities
BSE,539660,BESTAGRO,Best Agrolife
BSE,508664,BESTEAST,Best Eastern Hotels
BSE,512477,BETXIND,Betex India
BSE,533303,BFINVEST,BF Investment
BSE,532430,BFUTILITIE,BF Utilities
BSE,539662,BFLAFL,BFL Asset Finvest
BSE,532930,BGRENERGY,BGR Energy Systems
BSE,530803,BHAGIL,Bhageria Industries
BSE,531719,BHAGCHEM,Bhagiradha Chemicals & Industries
BSE,504646,BGWTATO,Bhagwati Autocast
BSE,509449,BHAGWOX,Bhagwati Oxygen
BSE,512296,BHAGYNAGAR,Bhagyanagar India
BSE,540545,BGJL,Bhakti Gems and Jewellery
BSE,512608,BHANDHOS,Bhandari Hosiery Exports
BSE,538576,BHANDERI,Bhanderi Infracon
BSE,500052,BEPL,Bhansali Engineering Polymers
BSE,540787,ICICIB22,BHARAT 22 ETF
BSE,531862,BHARATAGRI,Bharat Agri Fert & Realty
BSE,511501,BHARAT,Bharat Bhushan Finance
BSE,503960,BBL,Bharat Bijlee
BSE,543215,EBBETF0425,BHARAT Bond ETF - April 2025
BSE,542909,EBBETF0430,BHARAT Bond ETF - April 2030
BSE,543216,EBBETF0431,BHARAT Bond ETF - April 2031
BSE,541143,BDL,Bharat Dynamics
BSE,500049,BEL,Bharat Electronics
BSE,500493,BHARATFORG,Bharat Forge
BSE,505688,BHARATGEAR,Bharat Gears
BSE,500103,BHEL,Bharat Heavy Electricals
BSE,524663,BIBCL,Bharat Immunologicals Biologicals Corp
BSE,541096,BPLPHARMA,Bharat Parenterals Limite
BSE,500547,BPCL,Bharat Petroleum
BSE,590021,BHARATRAS,Bharat Rasayan
BSE,540700,BRNL,Bharat Road Network
BSE,523229,BHARATSE,Bharat Seats
BSE,539799,BHARATWIRE,Bharat Wire Ropes
BSE,532454,BHARTIARTL,Bharti Airtel
BSE,890157,AIRTELPP,Bharti Airtel Rs. 1.25 PP
BSE,526666,BIL,Bhartiya International
BSE,524534,BHASKAGR,Bhaskar Agro Chemicals
BSE,543497,BCCL,Bhatia Colour Chem
BSE,540956,BHATIA,Bhatia Comms & Retail
BSE,518017,BHEEMACEM,BHEEMA CEMENTS LTD.
BSE,514272,BHILSPIN,Bhilwara Spinners
BSE,533108,BTTL,Bhilwara Technical Textiles
BSE,526488,BHUDEVI,Bhudevi Infra Projects
BSE,540061,BIGBLOC,Bigbloc Construction
BSE,500058,BIHSPONG,Bihar Sponge Iron
BSE,524723,BIJHANS,Bijoy Hans
BSE,543653,BIKAJI,Bikaji Foods International
BSE,526853,BI,Bilcare
BSE,543209,BILLWIN,Billwin Industries
BSE,505681,BIMETAL,Bimetal Bearings
BSE,500059,BINANIIND,Binani Industries
BSE,523054,ZBINTXPP,Binayak Tex Processors
BSE,540148,BINDALEXPO,Bindal Exports
BSE,514215,BINNY,Binny
BSE,535620,BINNYMILLS,Binny Mills
BSE,532523,BIOCON,Biocon
BSE,524396,BIOFILCHEM,Biofil Chemicals
BSE,531752,BIOGEN,Biogen Pharmachem
BSE,500060,BIRLACABLE,Birla Cable
BSE,500335,BIRLACORPN,Birla Corporation
BSE,522105,BIRLAPREC,Birla Precision Technologies
BSE,542932,BIRLATYRES,Birla Tyres
BSE,532400,BSOFT,Birlasoft
BSE,531671,BISIL,BISIL PLAST LIMITED
BSE,543926,BIZOTIC,Bizotic Commercial
BSE,539043,BKMINDST,BKM Industries
BSE,519500,BKV,BKV Industries
BSE,500463,BBOX,Black Box
BSE,514183,BLACKROSE,Black Rose Industries
BSE,532290,BLBLIMITED,BLB
BSE,506197,BLISSGVS,Bliss GVS Pharma
BSE,526225,BLOOM,Bloom Dekor
BSE,513422,BLOIN,Bloom Industries
BSE,531175,BLSINFOTE,BLS Infotech
BSE,540073,BLS,BLS International Services
BSE,531936,BLUECHIP,BLUE CHIP INDIA LTD.
BSE,506981,BLUECHIPT,Blue Chip Tex Industries
BSE,539607,BLUECLOUDS,Blue Cloud Softech Solns
